file_path,commit_count,additions,deletions,total_churn,unique_contributors
src/frontend/package-lock.json,29,4220,2167,6387,3
src/backend/uv.lock,14,2846,465,3311,4
src/mail/package-lock.json,13,794,382,1176,2
src/frontend/src/features/rooms/livekit/components/effects/EffectsConfiguration.tsx,6,700,256,956,2
src/backend/core/tests/test_external_api_rooms.py,9,666,86,752,1
src/summary/summary/core/celery_worker.py,7,472,229,701,3
src/backend/core/tests/rooms/test_api_rooms_rename_toggle.py,3,605,31,636,1
src/sdk/package-lock.json,12,333,237,570,2
src/backend/core/api/viewsets.py,17,504,55,559,4
src/backend/core/tests/services/test_jwt_service.py,1,541,0,541,1
src/helm/meet/values.yaml,8,453,59,512,5
src/backend/locale/fr_FR/LC_MESSAGES/django.po,3,269,200,469,2
src/backend/locale/de_DE/LC_MESSAGES/django.po,3,265,197,462,2
src/backend/locale/en_US/LC_MESSAGES/django.po,3,264,197,461,2
src/backend/locale/nl_NL/LC_MESSAGES/django.po,3,264,197,461,2
src/backend/core/tests/rooms/test_api_rooms_start_recording.py,2,393,0,393,2
src/backend/core/tests/files/test_api_files_create.py,3,386,1,387,2
src/agents/metadata_collector.py,1,382,0,382,1
src/frontend/src/locales/de/rooms.json,18,224,142,366,4
src/frontend/src/features/rooms/livekit/prefabs/VideoConference.tsx,12,175,148,323,2
CHANGELOG.md,133,268,35,303,13
src/helm/env.d/dev/values.meet.yaml.gotmpl,4,7,292,299,2
src/backend/core/api/serializers.py,7,257,25,282,2
src/backend/core/tests/files/test_api_files_upload_ended.py,1,272,0,272,1
src/backend/core/tests/rooms/test_api_rooms_participants_management.py,4,223,41,264,1
src/helm/env.d/dev-keycloak/values.meet.yaml.gotmpl,12,156,96,252,4
src/frontend/src/features/rooms/livekit/components/controls/ReactionsToggle.tsx,3,83,155,238,2
.github/workflows/docker-hub.yml,7,133,83,216,2
src/backend/core/tests/files/test_api_files_list_filters.py,1,216,0,216,1
src/frontend/src/features/subtitle/component/Subtitles.tsx,6,115,97,212,2
src/summary/summary/core/file_service.py,5,175,29,204,3
src/frontend/src/stores/accessibility.ts,4,138,59,197,1
src/backend/core/models.py,4,193,3,196,2
src/frontend/src/stores/screenReaderAnnouncer.ts,4,183,11,194,1
src/summary/tests/api/test_api_tasks_v2.py,2,180,13,193,1
src/backend/core/external_api/authentication.py,3,145,46,191,1
docs/installation/scalingo.md,2,186,1,187,2
src/summary/summary/core/shared_models.py,3,172,10,182,1
src/frontend/src/features/home/components/IntroSlider.tsx,3,113,59,172,1
src/backend/core/tests/test_utils_detect_mimetype.py,1,166,0,166,1
src/frontend/src/features/subtitle/component/CaptionsSettings.tsx,5,132,31,163,2
src/summary/summary/core/config.py,4,148,15,163,2
src/backend/core/tests/files/test_api_files_list.py,1,160,0,160,1
src/frontend/src/features/reactions/components/toolbar/ReactionsToolbar.tsx,3,156,1,157,2
src/helm/meet/templates/celery_backend_deployment.yaml,2,157,0,157,2
src/summary/summary/core/webhook_service.py,3,145,11,156,2
src/backend/core/services/jwt_token.py,2,153,0,153,1
src/helm/meet/templates/celery_summary_backend_deployment.yaml,1,153,0,153,1
src/helm/env.d/dev-dinum/values.meet.yaml.gotmpl,7,57,87,144,3
src/summary/summary/api/route/tasks_v2.py,2,126,17,143,1
src/backend/pyproject.toml,27,76,66,142,6
src/backend/core/tests/files/test_api_files_media_auth.py,1,141,0,141,1
src/helm/meet/templates/agent_subtitles_deployment.yaml,1,141,0,141,1
src/frontend/src/primitives/Spinner.tsx,3,92,48,140,2
.github/workflows/meet.yml,7,100,37,137,3
src/frontend/src/locales/fr/rooms.json,17,108,27,135,3
src/frontend/src/features/rooms/livekit/components/IsIdleDisconnectModal.tsx,5,93,41,134,2
src/frontend/src/locales/en/rooms.json,17,106,25,131,3
src/frontend/src/locales/nl/rooms.json,17,105,24,129,3
src/frontend/src/features/reactions/components/ReactionsToggle.tsx,4,39,90,129,2
src/frontend/src/locales/nl/termsOfService.json,1,68,56,124,1
src/frontend/src/locales/de/termsOfService.json,1,65,53,118,1
src/backend/meet/settings.py,13,106,11,117,6
src/backend/core/utils.py,3,114,3,117,2
src/frontend/src/locales/de/settings.json,6,83,32,115,3
src/frontend/src/features/files/api/createFile.ts,2,103,10,113,1
src/frontend/src/locales/en/termsOfService.json,1,62,50,112,1
src/frontend/src/features/layout/components/RoomContentArea.tsx,3,96,10,106,1
src/backend/core/tests/rooms/test_api_rooms_lobby.py,1,106,0,106,1
src/frontend/src/features/rooms/livekit/components/ReactionPortal.tsx,4,25,77,102,2
src/frontend/src/locales/fr/termsOfService.json,1,56,44,100,1
src/frontend/src/features/rooms/livekit/hooks/useConnectionObserver.ts,1,99,0,99,1
src/backend/core/recording/services/metadata_collector.py,1,91,0,91,1
src/summary/tests/api/test_api_tasks.py,2,89,1,90,2
src/helm/meet/templates/ingress_webhook.yaml,1,90,0,90,1
src/frontend/src/features/shortcuts/catalog.ts,3,89,0,89,1
src/frontend/src/features/shortcuts/formatLabels.ts,4,72,13,85,1
src/backend/core/api/throttling.py,4,79,4,83,1
src/helm/meet/templates/ingress_media_files.yaml,1,83,0,83,1
Makefile,13,54,24,78,3
src/frontend/package.json,20,37,37,74,2
src/frontend/src/features/settings/components/tabs/VideoTab.tsx,3,42,32,74,2
src/frontend/src/locales/nl/settings.json,4,62,11,73,1
src/backend/core/tests/files/test_api_files_list_ordering.py,1,71,0,71,1
src/frontend/src/features/files/api/listFiles.ts,1,70,0,70,1
src/backend/core/tests/files/test_api_files_update.py,2,68,1,69,2
src/frontend/src/layout/SkipLink.tsx,1,69,0,69,1
