file_path,commit_count,additions,deletions,total_churn,unique_contributors,active_days,first_commit_date,last_commit_date,days_since_last_touch,avg_churn_per_commit,ownership_concentration,bugfix_commit_count,bugfix_commit_ratio,churn_burstiness
tools/localization/yarn.lock,20,2453,3362,5815,2,19,2025-10-23,2026-04-15,9,290.75,0.95,0,0.0,0.4247635425623388
AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.kt,48,791,990,1781,12,31,2025-09-10,2026-03-30,25,37.104166666666664,0.6458333333333334,15,0.3125,0.22515440763615946
tools/localization/.yarn/releases/yarn-4.10.3.cjs,2,355,1297,1652,1,2,2025-10-23,2026-03-10,45,826.0,1.0,0,0.0,0.5702179176755447
AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.kt,69,422,824,1246,15,44,2025-01-31,2026-04-18,6,18.057971014492754,0.4492753623188406,20,0.2898550724637681,0.10754414125200643
AnkiDroid/src/test/java/com/ichi2/anki/services/NotificationServiceTest.kt,5,735,363,1098,1,5,2025-11-03,2026-04-12,12,219.6,1.0,1,0.2,0.34335154826958103
AnkiDroid/src/main/java/com/ichi2/anki/NoteEditorFragment.kt,57,547,543,1090,15,39,2025-08-25,2026-04-22,2,19.12280701754386,0.5263157894736842,21,0.3684210526315789,0.22018348623853212
AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserFragment.kt,42,839,184,1023,7,24,2025-11-18,2026-04-12,12,24.357142857142858,0.8333333333333334,11,0.2619047619047619,0.17497556207233628
AnkiDroid/src/androidTest/java/com/ichi2/anki/tests/ContentProviderTest.kt,8,959,25,984,4,8,2025-11-22,2026-04-18,6,123.0,0.375,1,0.125,0.3617886178861789
tools/localization/.yarn/releases/yarn-4.13.0.cjs,1,940,0,940,1,1,2026-03-10,2026-03-10,45,940.0,1.0,0,0.0,1.0
AnkiDroid/src/main/java/com/ichi2/anki/ui/windows/reviewer/ReviewerFragment.kt,45,447,435,882,6,27,2025-09-11,2026-04-22,2,19.6,0.8666666666666667,18,0.4,0.2789115646258503
AnkiDroid/src/test/java/com/ichi2/anki/reviewreminders/ReviewRemindersDatabaseTest.kt,4,511,297,808,1,4,2026-01-30,2026-02-16,67,202.0,1.0,1,0.25,0.5767326732673267
AnkiDroid/src/main/java/com/ichi2/anki/dialogs/ChangeNoteTypeDialog.kt,9,683,24,707,3,7,2025-11-08,2026-04-06,18,78.55555555555556,0.6666666666666666,1,0.1111111111111111,0.917963224893918
AnkiDroid/src/main/java/com/ichi2/anki/ui/windows/reviewer/whiteboard/WhiteboardFragment.kt,16,284,366,650,4,11,2025-09-11,2026-03-25,30,40.625,0.75,3,0.1875,0.3446153846153846
AnkiDroid/src/main/java/com/ichi2/anki/CardTemplateEditor.kt,34,391,252,643,9,25,2025-09-10,2026-04-21,3,18.91176470588235,0.7058823529411765,7,0.20588235294117646,0.3965785381026439
AnkiDroid/src/test/java/com/ichi2/anki/DeckPickerTest.kt,18,347,287,634,7,17,2025-09-08,2026-04-18,6,35.22222222222222,0.5,5,0.2777777777777778,0.6498422712933754
AnkiDroid/src/main/java/com/ichi2/anki/dialogs/ChangeNoteTypeViewModel.kt,4,597,4,601,3,3,2025-11-08,2026-02-08,75,150.25,0.5,1,0.25,0.9900166389351082
AnkiDroid/src/main/java/com/ichi2/anki/ui/windows/reviewer/ReviewerViewModel.kt,31,331,244,575,3,17,2025-09-13,2026-04-23,1,18.548387096774192,0.8709677419354839,6,0.1935483870967742,0.4191304347826087
AnkiDroid/src/test/java/com/ichi2/anki/browser/CardBrowserViewModelTest.kt,17,530,39,569,5,11,2025-11-08,2026-04-19,5,33.470588235294116,0.7647058823529411,5,0.29411764705882354,0.18629173989455183
AnkiDroid/src/main/java/com/ichi2/anki/FilteredDeckOptions.kt,4,74,495,569,3,3,2025-12-01,2026-01-05,109,142.25,0.5,1,0.25,0.8295254833040422
AnkiDroid/src/main/res/values-hr/02-strings.xml,24,294,273,567,1,23,2025-10-30,2026-04-23,1,23.625,1.0,0,0.0,0.8465608465608465
AnkiDroid/src/test/java/com/ichi2/anki/dialogs/ChangeNoteTypeViewModelTest.kt,1,557,0,557,1,1,2025-11-08,2025-11-08,167,557.0,1.0,0,0.0,1.0
AnkiDroid/src/test/java/com/ichi2/anki/CardBrowserTest.kt,25,493,52,545,6,14,2025-11-28,2026-04-10,14,21.8,0.76,6,0.24,0.4018348623853211
AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserViewModel.kt,30,357,179,536,8,22,2025-10-19,2026-04-17,7,17.866666666666667,0.7333333333333333,7,0.23333333333333334,0.21455223880597016
AnkiDroid/src/main/java/com/ichi2/anki/reviewreminders/ReviewRemindersDatabase.kt,6,297,238,535,2,6,2026-01-30,2026-04-17,7,89.16666666666667,0.8333333333333334,1,0.16666666666666666,0.48785046728971965
AnkiDroid/src/main/java/com/ichi2/anki/services/NotificationService.kt,9,453,66,519,2,8,2025-11-03,2026-04-20,4,57.666666666666664,0.6666666666666666,5,0.5555555555555556,0.5510597302504817
AnkiDroid/src/test/java/com/ichi2/anki/services/AlarmManagerServiceTest.kt,4,443,75,518,1,4,2025-11-03,2026-02-16,67,129.5,1.0,0,0.0,0.46332046332046334
AnkiDroid/src/main/java/com/ichi2/anki/browser/search/CardBrowserSearchViewModel.kt,14,467,48,515,1,6,2026-01-11,2026-03-12,43,36.785714285714285,1.0,1,0.07142857142857142,0.2
AnkiDroid/src/main/java/com/ichi2/anki/StudyOptionsFragment.kt,16,188,321,509,6,13,2025-08-29,2026-04-17,7,31.8125,0.4375,3,0.1875,0.3968565815324165
AnkiDroid/src/main/java/com/ichi2/anki/DeckPickerFloatingActionMenu.kt,7,277,225,502,3,7,2025-09-11,2026-03-23,32,71.71428571428571,0.7142857142857143,1,0.14285714285714285,0.7370517928286853
AnkiDroid/src/main/res/layout/reviewer2.xml,14,199,287,486,2,10,2025-09-11,2026-01-23,91,34.714285714285715,0.9285714285714286,5,0.35714285714285715,0.4382716049382716
AnkiDroid/src/main/java/com/ichi2/anki/browser/search/StandardSearchFragment.kt,10,427,57,484,1,6,2026-01-11,2026-03-12,43,48.4,1.0,0,0.0,0.2334710743801653
AnkiDroid/src/test/java/com/ichi2/anki/browser/search/CardBrowserSearchViewModelTest.kt,7,427,33,460,1,4,2026-01-11,2026-03-05,50,65.71428571428571,1.0,0,0.0,0.3739130434782609
AnkiDroid/src/main/java/com/ichi2/anki/model/FieldFilters.kt,1,453,0,453,1,1,2026-03-20,2026-03-20,35,453.0,1.0,0,0.0,1.0
